filename,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes,name,qc
6_Chow_PFC_right_S61,0010,S61,0.162,36,6,chow,3227,PFC,right,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,NA,25.9,27,1.1000000000000014,0.04247104247104252,0.00263795294851195,713.6,706.4,11617.200000000072,721.5652173913088,NA,S0010_06_chow_PFC,ok
7_Fasting_Hyp_both_S49,0010,S49,817.7,37,7,fast,0,HY,both,2019-01-29T16:49:00Z,2019-01-30T08:49:00Z,16,NA,23.9,23.3,-0.5999999999999979,-0.02510460251046016,-0.00156903765690376,0,0,0,0,NA,S0010_07_fast_HY,ok
8_Fasting_Hyp_both_S9,0010,S9,7.8,37,8,fast,0,HY,both,2019-01-29T16:49:00Z,2019-01-30T08:59:00Z,16.166666666666668,NA,23.1,22.8,-0.3000000000000007,-0.01298701298701301,-8.033203909492587e-4,0,0,0,0,NA,S0010_08_fast_HY,ok
9_Fasting_Hyp_both_S39,0010,S39,31.8,38,9,fast,0,HY,both,2019-01-29T17:50:00Z,2019-01-30T09:50:00Z,16,NA,24.1,23.5,-0.6000000000000014,-0.02489626556016603,-0.00155601659751037,0,0,0,0,NA,S0010_09_fast_HY,ok
10_Fasting_Hyp_both_S24,0010,S24,23.4,38,10,fast,0,HY,both,2019-01-29T17:50:00Z,2019-01-30T10:00:00Z,16.166666666666668,NA,24.6,24.1,-0.5,-0.02032520325203252,-0.00125722906713603,0,0,0,0,NA,S0010_10_fast_HY,ok
11_Fasting_Hyp_both_S30,0010,S30,47.4,39,11,fast,0,HY,both,2019-01-29T18:43:00Z,2019-01-30T10:43:00Z,16,NA,26.6,24.6,-2,-0.07518796992481203,-0.00469924812030075,0,0,0,0,NA,S0010_11_fast_HY,ok
12_Fasting_Hyp_both_S23,0010,S23,95.4,39,12,fast,0,HY,both,2019-01-29T18:43:00Z,2019-01-30T10:53:00Z,16.166666666666668,NA,23.1,21.6,-1.5,-0.06493506493506493,-0.00401660195474628,0,0,0,0,NA,S0010_12_fast_HY,fail STAR
7_Fasting_Hip_left_S45,0010,S45,69.4,37,7,fast,0,HPF,left,2019-01-29T16:49:00Z,2019-01-30T08:49:00Z,16,NA,23.9,23.3,-0.5999999999999979,-0.02510460251046016,-0.00156903765690376,0,0,0,0,NA,S0010_07_fast_HPF,ok
8_Fasting_Hip_left_S38,0010,S38,49.4,37,8,fast,0,HPF,left,2019-01-29T16:49:00Z,2019-01-30T08:59:00Z,16.166666666666668,NA,23.1,22.8,-0.3000000000000007,-0.01298701298701301,-8.033203909492587e-4,0,0,0,0,NA,S0010_08_fast_HPF,ok
9_Fasting_Hip_left_S36,0010,S36,24.4,38,9,fast,0,HPF,left,2019-01-29T17:50:00Z,2019-01-30T09:50:00Z,16,NA,24.1,23.5,-0.6000000000000014,-0.02489626556016603,-0.00155601659751037,0,0,0,0,NA,S0010_09_fast_HPF,ok
