10_Fasting_SC_right_S88_R2_001	63.0	55.5	48.0	41.0	34.0	50.0	66.0	101.0	136.0	167.5	199.0	249.5	300.0	377.5	455.0	512.0	569.0	633.5	698.0	758.0	818.0	887.5	957.0	988.5	1020.0	1039.0	1058.5	1059.0	1096.0	1133.0	1106.0	1079.0	1079.0	1079.0	1052.0	1025.0	1005.0	985.0	995.5	1006.0	974.5	943.0	899.5	856.0	844.0	832.0	808.0	784.0	743.5	703.0	677.5	652.0	605.5	559.0	511.5	464.0	444.0	424.0	382.0	340.0	303.0	266.0	236.0	206.0	166.0	126.0	132.0	138.0	118.0	98.0	92.0	86.0	75.0	64.0	67.5	67.0	63.0	57.0	51.0	65.0	79.0	55.5	32.0	26.0	20.0	17.5	15.0	14.0	13.0	9.0	5.0	4.0	3.0	4.0	5.0	5.5	6.0	6.5	7.0	4.0	1.0
11_Fasting_Hip_right_S35_R1_001	21.0	14.0	7.0	8.0	9.0	15.5	22.0	24.0	26.0	36.5	47.0	72.5	98.0	137.5	177.0	223.5	270.0	354.0	438.0	614.0	790.0	974.0	1158.0	1414.0	1670.0	2066.0	2837.5	3213.0	3724.5	4236.0	4665.0	5094.0	5576.0	6058.0	6582.0	7106.0	7654.5	8203.0	8655.0	9107.0	9639.5	10172.0	10350.5	10529.0	10570.0	10611.0	10824.0	11037.0	13663.5	16290.0	99243.0	182196.0	132554.5	82913.0	47284.0	11655.0	9288.5	6922.0	6374.5	5827.0	5339.0	4851.0	4344.0	3837.0	3217.0	2597.0	2304.5	2012.0	1773.5	1535.0	1488.0	1441.0	1484.5	1528.0	1343.0	999.5	841.0	737.0	633.0	543.5	454.0	426.0	398.0	598.5	799.0	612.5	426.0	313.5	201.0	168.5	136.0	202.5	269.0	157.5	46.0	32.0	18.0	16.5	15.0	12.5	10.0
11_Fasting_Hip_right_S35_R2_001	152.0	189.5	227.0	274.5	322.0	344.5	367.0	399.0	431.0	535.5	640.0	781.5	923.0	1070.0	1217.0	1316.5	1416.0	1546.5	1677.0	1821.0	1965.0	2226.5	2488.0	2806.0	3124.0	3533.0	4426.0	4910.0	5247.5	5585.0	6032.0	6479.0	7067.5	7656.0	8021.5	8387.0	8825.0	9263.0	9723.5	10184.0	10444.5	10705.0	10831.0	10957.0	11166.0	11375.0	11321.0	11267.0	11127.5	10988.0	10790.5	10593.0	10357.5	10122.0	9644.0	9166.0	8785.5	8405.0	8043.0	7681.0	7439.5	7198.0	6677.0	6156.0	6034.5	5913.0	5833.5	5754.0	5755.0	5756.0	6086.0	6416.0	6859.0	7302.0	7569.0	8708.0	9580.0	10579.0	11578.0	12952.5	14327.0	15098.0	15869.0	17200.5	18532.0	19447.0	20362.0	20938.5	21515.0	21310.5	21106.0	20275.0	19444.0	17821.0	16198.0	14200.5	12203.0	10097.0	7991.0	7955.0	7919.0
11_Fasting_Hyp_both_S30_R1_001	6243.0	3707.0	1171.0	1275.0	1379.0	1814.0	2249.0	3275.0	4301.0	5955.0	7609.0	11117.0	14625.0	20635.0	26645.0	38015.0	49385.0	71123.5	92862.0	135139.5	177417.0	218403.0	259389.0	332240.5	405092.0	500480.0	695913.5	795959.0	932730.5	1069502.0	1187365.0	1305228.0	1454513.5	1603799.0	1728486.5	1853174.0	2030171.5	2207169.0	2339311.5	2471454.0	2582221.5	2692989.0	2781821.0	2870653.0	2924087.0	2977521.0	3020589.0	3063657.0	3074572.5	3085488.0	3103471.5	3121455.0	2989817.5	2858180.0	2735532.0	2612884.0	2414895.5	2216907.0	2167685.5	2118464.0	1968813.0	1819162.0	1605485.5	1391809.0	1200527.5	1009246.0	850381.5	691517.0	620552.5	549588.0	569548.5	589509.0	579810.5	570112.0	489408.0	373697.5	338691.0	300256.5	261822.0	220786.0	179750.0	176783.0	173816.0	226708.0	279600.0	202209.5	124819.0	102026.5	79234.0	68660.5	58087.0	89085.0	120083.0	62142.0	4201.0	2731.5	1262.0	844.0	426.0	231.0	36.0
11_Fasting_Hyp_both_S30_R2_001	10679.0	7740.0	4801.0	4575.0	4349.0	5012.5	5676.0	7084.0	8492.0	11311.5	14131.0	19157.0	24183.0	33137.0	42091.0	58707.5	75324.0	110075.0	144826.0	183846.0	222866.0	274427.0	325988.0	401905.0	477822.0	605494.0	849907.0	966648.0	1065653.0	1164658.0	1281256.0	1397854.0	1545877.0	1693900.0	1814758.5	1935617.0	2086327.0	2237037.0	2339966.0	2442895.0	2552702.5	2662510.0	2714384.0	2766258.0	2822402.5	2878547.0	2907473.0	2936399.0	2933387.0	2930375.0	2877698.5	2825022.0	2738372.5	2651723.0	2536330.5	2420938.0	2270552.5	2120167.0	2057476.5	1994786.0	1905437.5	1816089.0	1532760.5	1249432.0	1110164.0	970896.0	910024.0	849152.0	733758.5	618365.0	583035.0	547705.0	507698.5	467692.0	419676.5	353283.5	334906.0	362687.5	390469.0	569722.5	748976.0	498944.0	248912.0	216062.5	183213.0	150826.0	118439.0	103806.0	89173.0	63739.0	38305.0	30960.5	23616.0	17433.5	11251.0	9472.5	7694.0	6431.5	5169.0	7259.0	9349.0
11_Fasting_IC_right_S16_R1_001	18142.0	9959.0	1776.0	1686.5	1597.0	2004.5	2412.0	3310.0	4208.0	5790.0	7372.0	10764.5	14157.0	20341.5	26526.0	38315.5	50105.0	70966.5	91828.0	130701.0	169574.0	211928.5	254283.0	323367.0	392451.0	480586.5	667068.0	765414.0	889461.5	1013509.0	1120470.0	1227431.0	1356449.5	1485468.0	1596729.5	1707991.0	1849484.0	1990977.0	2097174.5	2203372.0	2289096.5	2374821.0	2437970.5	2501120.0	2534710.0	2568300.0	2586667.5	2605035.0	2592460.0	2579885.0	2556845.0	2533805.0	2401190.0	2268575.0	2139973.0	2011371.0	1845414.0	1679457.0	1584549.5	1489642.0	1351462.5	1213283.0	1057219.5	901156.0	774333.5	647511.0	546422.5	445334.0	391237.0	337140.0	339271.5	341403.0	324562.5	307722.0	270005.5	211874.5	191460.0	165877.5	140295.0	119581.0	98867.0	104025.5	109184.0	160155.5	211127.0	150237.5	89348.0	72131.0	54914.0	43739.0	32564.0	51535.5	70507.0	36257.5	2008.0	1350.0	692.0	457.0	222.0	116.5	11.0
11_Fasting_IC_right_S16_R2_001	22080.0	13294.0	4508.0	4356.5	4205.0	4835.0	5465.0	6902.0	8339.0	10988.0	13637.0	19031.5	24426.0	33576.5	42727.0	60498.5	78270.0	110076.0	141882.0	183212.0	224542.0	278025.5	331509.0	406648.5	481788.0	596464.5	817201.0	923261.0	1018019.5	1112778.0	1220791.5	1328805.0	1451209.0	1573613.0	1676074.0	1778535.0	1896203.5	2013872.0	2098802.0	2183732.0	2259613.0	2335494.0	2374934.5	2414375.0	2439725.5	2465076.0	2475250.5	2485425.0	2459385.5	2433346.0	2366294.5	2299243.0	2200438.0	2101633.0	1976758.5	1851884.0	1713365.5	1574847.0	1478279.0	1381711.0	1283470.5	1185230.0	1009790.0	834350.0	732973.5	631597.0	578978.5	526360.0	454076.5	381793.0	360291.0	338789.0	309561.5	280334.0	249182.0	207623.5	197217.0	210397.5	223578.0	322694.5	421811.0	290372.0	158933.0	135965.5	112998.0	92384.0	71770.0	60909.5	50049.0	35403.5	20758.0	16169.0	11580.0	8636.0	5692.0	4754.5	3817.0	3287.5	2758.0	4764.0	6770.0
11_Fasting_PFC_right_S82_R1_001	16709.0	9258.5	1808.0	1671.5	1535.0	1992.5	2450.0	3291.0	4132.0	5542.0	6952.0	10372.0	13792.0	19235.5	24679.0	35578.0	46477.0	66013.5	85550.0	122882.5	160215.0	199190.0	238165.0	303048.5	367932.0	452762.0	630651.5	723711.0	845731.5	967752.0	1074812.5	1181873.0	1314274.0	1446675.0	1556968.5	1667262.0	1817131.0	1967000.0	2075546.5	2184093.0	2277734.0	2371375.0	2442969.0	2514563.0	2554563.5	2594564.0	2620345.5	2646127.0	2639877.5	2633628.0	2588636.0	2543644.0	2445386.0	2347128.0	2225802.5	2104477.0	1931237.0	1757997.0	1657334.5	1556672.0	1405864.0	1255056.0	1089772.0	924488.0	802373.5	680259.0	567783.0	455307.0	392750.5	330194.0	319196.5	308199.0	302830.5	297462.0	260723.0	200947.5	177911.0	161085.5	144260.0	125344.5	106429.0	124897.0	143365.0	221743.5	300122.0	203999.5	107877.0	83207.5	58538.0	49974.5	41411.0	67255.5	93100.0	47817.5	2535.0	1585.0	635.0	411.5	188.0	106.0	24.0
11_Fasting_PFC_right_S82_R2_001	19466.0	12138.5	4811.0	4446.0	4081.0	4682.5	5284.0	6663.5	8043.0	10562.0	13081.0	18080.0	23079.0	31250.5	39422.0	54803.0	70184.0	99313.5	128443.0	165827.5	203212.0	252777.5	302343.0	371978.0	441613.0	552790.5	765765.0	867562.0	960994.0	1054426.0	1158073.0	1261720.0	1389456.0	1517192.0	1624852.5	1732513.0	1852337.0	1972161.0	2065193.0	2158225.0	2247949.5	2337674.0	2383974.5	2430275.0	2469599.0	2508923.0	2524774.0	2540625.0	2521073.0	2501521.0	2440149.0	2378777.0	2281824.0	2184871.0	2061954.0	1939037.0	1800749.0	1662461.0	1559896.5	1457332.0	1350345.0	1243358.0	1057710.5	872063.0	762356.5	652650.0	587499.0	522348.0	446779.5	371211.0	360835.0	350459.0	312190.5	273922.0	242986.5	208045.5	204040.0	223092.0	242144.0	361775.0	481406.0	333135.0	184864.0	154585.5	124307.0	101600.5	78894.0	67867.5	56841.0	39650.0	22459.0	18428.5	14398.0	11363.0	8328.0	7461.5	6595.0	5659.0	4723.0	6605.0	8487.0
11_Fasting_SC_right_S40_R1_001	6309.0	3848.0	1387.0	1401.0	1415.0	1873.5	2332.0	3199.0	4066.0	5648.0	7230.0	10671.5	14113.0	19945.0	25777.0	36991.5	48206.0	68960.0	89714.0	129311.0	168908.0	209215.5	249523.0	319631.5	389740.0	480747.0	671537.0	771320.0	901138.0	1030956.0	1145642.0	1260328.0	1398371.0	1536414.0	1656905.5	1777397.0	1940142.0	2102887.0	2223443.5	2344000.0	2442289.0	2540578.0	2619496.0	2698414.0	2740731.0	2783048.0	2813760.0	2844472.0	2839200.0	2833928.0	2805695.5	2777463.0	2657060.0	2536657.0	2409188.0	2281719.0	2100814.0	1919909.0	1821147.5	1722386.0	1564430.5	1406475.0	1229927.0	1053379.0	902835.0	752291.0	631243.5	510196.0	446425.5	382655.0	374337.5	366020.0	350898.0	335776.0	296070.5	227023.5	197682.0	170119.0	142556.0	122450.5	102345.0	100289.5	98234.0	133904.0	169574.0	119792.5	70011.0	53130.0	36249.0	30447.5	24646.0	37274.0	49902.0	25707.5	1513.0	911.5	310.0	209.0	108.0	60.0	12.0
11_Fasting_SC_right_S40_R2_001	10589.0	7549.5	4510.0	4461.5	4413.0	5022.5	5632.0	7105.5	8579.0	11480.0	14381.0	19851.5	25322.0	34727.5	44133.0	62507.5	80882.0	114499.5	148117.0	189702.0	231287.0	285294.5	339302.0	417127.0	494952.0	619184.5	854841.0	966265.0	1063525.5	1160786.0	1272721.0	1384656.0	1517776.5	1650897.0	1763714.5	1876532.0	2008010.0	2139488.0	2234641.0	2329794.0	2421380.5	2512967.0	2557349.0	2601731.0	2639837.5	2677944.0	2693816.5	2709689.0	2690981.0	2672273.0	2608133.0	2543993.0	2442842.5	2341692.0	2209081.5	2076471.0	1927798.0	1779125.0	1678952.5	1578780.0	1472713.5	1366647.0	1161078.5	955510.0	835528.5	715547.0	653147.0	590747.0	508507.5	426268.0	395572.0	364876.0	331824.5	298773.0	265078.0	217540.5	203698.0	211488.0	219278.0	307399.5	395521.0	264779.5	134038.0	112763.0	91488.0	72719.5	53951.0	46698.5	39446.0	28043.0	16640.0	13314.0	9988.0	8497.5	7007.0	6485.5	5964.0	5504.5	5045.0	6640.0	8235.0
12_Fasting_Hip_right_S77_R1_001	3547.0	2511.5	1476.0	1891.5	2307.0	3311.0	4315.0	6065.0	7815.0	10810.0	13805.0	20068.0	26331.0	37095.5	47860.0	68716.5	89573.0	128874.5	168176.0	245506.5	322837.0	397282.0	471727.0	607182.5	742638.0	925607.0	1305492.0	1502408.0	1769710.0	2037012.0	2268461.0	2499910.0	2793008.0	3086106.0	3338651.5	3591197.0	3927958.0	4264719.0	4516369.5	4768020.0	4985642.0	5203264.0	5372603.0	5541942.0	5639555.0	5737168.0	5792398.0	5847628.0	5833898.5	5820169.0	5748083.0	5675997.0	5412452.0	5148907.0	4878906.0	4608905.0	4231480.0	3854055.0	3648816.0	3443577.0	3106946.5	2770316.0	2408492.0	2046668.0	1782612.0	1518556.0	1274022.0	1029488.0	903858.5	778229.0	794177.0	810125.0	781113.0	752101.0	632287.5	476851.0	441228.0	404253.5	367279.0	301734.0	236189.0	246709.5	257230.0	367172.0	477114.0	336756.0	196398.0	164070.0	131742.0	109135.5	86529.0	131366.0	176203.0	91055.0	5907.0	4401.5	2896.0	1779.0	662.0	353.5	45.0
12_Fasting_Hip_right_S77_R2_001	12858.0	10426.5	7995.0	7707.0	7419.0	8633.0	9847.0	12575.5	15304.0	20401.5	25499.0	35003.0	44507.0	61183.0	77859.0	110529.5	143200.0	205701.5	268203.0	345600.0	422997.0	524464.0	625931.0	774990.5	924050.0	1170387.5	1647513.5	1878302.0	2088338.5	2298375.0	2527631.5	2756888.0	3039077.0	3321266.0	3564701.0	3808136.0	4087831.5	4367527.0	4565448.5	4763370.0	4968295.0	5173220.0	5262825.5	5352431.0	5436808.0	5521185.0	5545571.0	5569957.0	5523016.5	5476076.0	5335759.5	5195443.0	4982307.5	4769172.0	4498260.0	4227348.0	3917308.5	3607269.0	3398350.5	3189432.0	2961168.0	2732904.0	2305158.5	1877413.0	1649441.0	1421469.0	1288725.5	1155982.0	980362.5	804743.0	771529.0	738315.0	674592.5	610870.0	543741.0	454333.0	432054.0	484918.5	537783.0	824058.0	1110333.0	746310.5	382288.0	325483.0	268678.0	215028.5	161379.0	144081.0	126783.0	89355.5	51928.0	42006.5	32085.0	22997.5	13910.0	11344.0	8778.0	7482.5	6187.0	8624.0	11061.0
12_Fasting_Hyp_both_S23_R1_001	52.0	36.0	20.0	25.0	30.0	43.5	57.0	85.0	113.0	172.0	231.0	308.5	386.0	500.0	614.0	777.0	940.0	1195.5	1451.0	1844.5	2238.0	2629.5	3021.0	3587.0	4153.0	4964.5	6593.0	7410.0	8560.0	9710.0	10592.0	11474.0	12483.5	13493.0	14526.0	15559.0	16855.0	18151.0	18807.5	19464.0	20446.5	21429.0	21711.0	21993.0	22285.0	22577.0	22777.5	22978.0	24680.5	26383.0	121927.5	217472.0	163271.0	109070.0	64097.0	19124.0	16855.0	14586.0	13633.0	12680.0	11561.5	10443.0	9215.5	7988.0	6847.5	5707.0	4926.0	4145.0	3635.5	3126.0	3038.5	2951.0	2850.0	2749.0	2436.5	1867.0	1610.0	1365.0	1120.0	944.0	768.0	761.5	755.0	990.5	1226.0	946.5	667.0	500.5	334.0	294.0	254.0	350.5	447.0	240.0	33.0	26.0	19.0	20.0	21.0	24.0	27.0
12_Fasting_Hyp_both_S23_R2_001	174.0	204.5	235.0	273.5	312.0	361.0	410.0	477.5	545.0	676.0	807.0	969.5	1132.0	1412.5	1693.0	1911.0	2129.0	2488.5	2848.0	3321.0	3794.0	4159.5	4525.0	5185.0	5845.0	6957.0	8996.0	9923.0	10840.0	11757.0	12591.5	13426.0	14627.5	15829.0	16456.0	17083.0	18420.5	19758.0	20316.5	20875.0	21506.0	22137.0	22635.5	23134.0	23021.5	22909.0	22941.0	22973.0	22770.0	22567.0	21931.5	21296.0	20582.0	19868.0	18922.0	17976.0	16954.5	15933.0	15175.5	14418.0	13734.5	13051.0	11697.5	10344.0	9694.0	9044.0	8906.5	8769.0	8525.5	8282.0	8446.5	8611.0	9087.0	9563.0	9938.0	11122.0	11931.0	13222.5	14514.0	16474.5	18435.0	18889.0	19343.0	20694.0	22045.0	23030.0	24015.0	24421.0	24827.0	24557.5	24288.0	23131.5	21975.0	19773.0	17571.0	15194.5	12818.0	10479.5	8141.0	7515.0	6889.0
12_Fasting_IC_right_S37_R1_001	6527.0	3859.0	1191.0	1112.0	1033.0	1479.0	1925.0	2682.5	3440.0	4916.5	6393.0	9325.0	12257.0	17680.5	23104.0	32854.0	42604.0	60460.5	78317.0	111824.5	145332.0	182438.5	219545.0	282286.0	345027.0	424801.5	595134.5	685693.0	802413.5	919134.0	1029557.5	1139981.0	1271291.5	1402602.0	1523460.5	1644319.0	1796196.0	1948073.0	2069084.5	2190096.0	2288366.5	2386637.0	2471409.0	2556181.0	2612993.5	2669806.0	2712156.5	2754507.0	2756507.0	2758507.0	2784697.0	2810887.0	2680730.0	2550573.0	2397888.0	2245203.0	2077414.0	1909625.0	1800257.5	1690890.0	1541467.0	1392044.0	1220521.0	1048998.0	895562.0	742126.0	632609.5	523093.0	462736.5	402380.0	392602.5	382825.0	362735.5	342646.0	308901.0	244816.0	214476.0	180947.5	147419.0	131001.5	114584.0	125133.5	135683.0	191997.0	248311.0	175878.0	103445.0	86733.0	70021.0	66849.5	63678.0	94730.0	125782.0	64385.5	2989.0	1640.0	291.0	190.0	89.0	50.5	12.0
