Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
143_1_SCL_chow_S65	1608057.0	61064620.0	21497.0	2993427.0	6221793.0
143_1_ZIL_chow_S55	1586452.0	52033908.0	26571.0	3247464.0	4508397.0
143_2_HIPL_chow_S3	583825.0	22039919.0	7942.0	1201256.0	2150689.0
143_2_Hyp_chow_S25	1062718.0	34202608.0	14623.0	2365813.0	4099417.0
143_2_ICL_chow_S70	1205177.0	37641864.0	17369.0	2673115.0	4424621.0
143_2_SCL_chow_S4	932053.0	34614342.0	13562.0	1672713.0	3375197.0
143_2_ZIL_chow_S7	841550.0	20433377.0	11253.0	4442996.0	21048486.0
143_3_HIPL_fast_S46	1596027.0	66081627.0	21998.0	2490687.0	4545075.0
143_3_Hyp_fast_S23	2265399.0	82664235.0	32623.0	4149588.0	7918718.0
143_3_ICL_fast_S61	1384461.0	48727733.0	23165.0	3405634.0	7569331.0
143_3_SCL_fast_S13	1384151.0	25025569.0	6449.0	5068957.0	34683837.0
143_3_ZIL_fast_S10	2045196.0	75240928.0	32503.0	3830874.0	6983710.0
143_4_HIPL_fast_S48	1431390.0	60613873.0	20227.0	2879944.0	7522107.0
143_4_Hyp_fast_S16	1162761.0	36235913.0	18629.0	2598883.0	5796712.0
143_4_ICL_fast_S51	831047.0	25381377.0	15920.0	1992070.0	3177910.0
143_4_SCL_fast_S3	531021.0	13637121.0	9447.0	6662149.0	43418631.0
143_4_ZIL_fast_S18	580221.0	16035618.0	7014.0	3975289.0	23093544.0
143_5_HIPL_fast_S35	587301.0	23394280.0	7694.0	991186.0	1661310.0
143_5_Hyp_fast_S12	289454.0	7866016.0	5269.0	3137355.0	5877376.0
143_5_ICL_fast_S54	1171355.0	38305371.0	17114.0	2420887.0	5622885.0
143_5_SCL_fast_S14	970177.0	23198368.0	13245.0	6188642.0	62779091.0
143_5_ZIL_fast_S52	1038693.0	34497490.0	15004.0	2371288.0	7220914.0
144_1_HIPL_chow_S1	397249.0	7723728.0	3781.0	2141200.0	16325875.0
144_1_Hyp_chow_S68	2258.0	77433.0	32.0	5157.0	52957.0
144_1_ICL_chow_S28	1274024.0	50345709.0	18394.0	2731219.0	7694565.0
144_1_SCL_chow_S60	199970.0	7914578.0	2861.0	425976.0	1363208.0
144_1_ZIL_chow_S37	1798873.0	59831692.0	27548.0	3581306.0	7544021.0
144_2_HIPL_chow_S50	1043281.0	41982082.0	13913.0	2048028.0	5171238.0
144_2_Hyp_chow_S2	1012193.0	31825102.0	16198.0	2536627.0	4155371.0
144_2_ICL_chow_S24	857425.0	24300615.0	16781.0	12370617.0	39478029.0
144_2_SCL_chow_S14	1273800.0	48699998.0	19149.0	2658961.0	7340607.0
144_2_ZIL_chow_S11	98010.0	2976936.0	1727.0	1523810.0	7755234.0
144_3_HIPL_chow_S8	565561.0	22086571.0	7944.0	1069988.0	1760255.0
144_3_Hyp_chow_S40	998181.0	32586166.0	15087.0	2156932.0	4051899.0
144_3_ICL_chow_S21	910107.0	34921929.0	12443.0	1555289.0	3407968.0
144_3_SCL_chow_S71	570918.0	17634535.0	7417.0	1062592.0	1695311.0
144_3_ZIL_chow_S39	704810.0	25593275.0	10087.0	1306414.0	3022890.0
144_4_HIPL_fast_S15	582996.0	16680689.0	10099.0	4029170.0	23320268.0
144_4_Hyp_fast_S13	899100.0	29347266.0	12943.0	2674397.0	7733193.0
144_4_ICL_fast_S4	240035.0	6381846.0	4672.0	1506951.0	12022335.0
144_4_SCL_fast_S43	2512717.0	91110169.0	36158.0	4256982.0	7410935.0
144_4_ZIL_fast_S47	1265262.0	45743099.0	17014.0	1967309.0	3244476.0
144_5_HIPL_fast_S56	963996.0	35592762.0	13352.0	1958140.0	3418189.0
144_5_Hyp_fast_S10	286837.0	6384286.0	6220.0	8828714.0	33371241.0
144_5_ICL_fast_S36	401697.0	14065695.0	5244.0	714542.0	1273372.0
144_5_SCL_fast_S12	326894.0	9460241.0	4832.0	422630.0	868471.0
144_5_ZIL_fast_S33	1076113.0	43583351.0	15057.0	2003611.0	4692954.0
145_1_HIPL_chow_S22	2891289.0	111278066.0	41122.0	5059990.0	10107982.0
145_1_Hyp_chow_S2	98203.0	1251677.0	706.0	1426976.0	21461699.0
145_1_ICL_chow_S1	1460324.0	49578319.0	20759.0	3213815.0	6596691.0
145_1_SCL_chow_S49	616903.0	22795898.0	7476.0	1126061.0	2628073.0
145_1_ZIL_chow_S66	772654.0	27874644.0	10813.0	1773368.0	5238532.0
145_2_HIPL_chow_S8	336180.0	10071523.0	5314.0	4115986.0	10791234.0
145_2_Hyp_chow_S41	2332369.0	85543992.0	34379.0	4273367.0	7538760.0
145_2_ICL_chow_S23	615122.0	18767190.0	13421.0	11022241.0	19363559.0
145_2_SCL_chow_S34	1422390.0	53831082.0	17868.0	1995526.0	5830919.0
145_2_ZIL_chow_S11	914976.0	32324828.0	12085.0	1910169.0	3288163.0
145_3_HIPL_fast_S45	3012895.0	115758108.0	39632.0	4924938.0	8430896.0
145_3_Hyp_fast_S57	899458.0	32017993.0	11831.0	1856060.0	3661347.0
145_3_ICL_fast_S22	426323.0	15072276.0	11026.0	3568016.0	19527821.0
145_3_SCL_fast_S63	977852.0	37674036.0	12411.0	1814462.0	5290627.0
145_3_ZIL_fast_S42	1331557.0	49399392.0	18926.0	2386135.0	4065685.0
145_4_HIPL_fast_S17	2111654.0	84964350.0	30167.0	3773491.0	8178242.0
145_4_Hyp_fast_S29	2346742.0	72605626.0	35357.0	5204581.0	7973114.0
145_4_ICL_fast_S24	275033.0	11169176.0	3618.0	549073.0	1946973.0
145_4_SCL_fast_S30	2560349.0	98455282.0	36788.0	4424874.0	10939186.0
145_4_ZIL_fast_S5	428594.0	6722112.0	3423.0	5333314.0	21413250.0
145_5_HIPL_fast_S58	719498.0	28112384.0	8944.0	1272672.0	2699233.0
145_5_Hyp_fast_S17	357505.0	8993503.0	5346.0	11842605.0	55923031.0
145_5_ICL_fast_S32	1098790.0	43734675.0	14084.0	1767240.0	8328475.0
145_5_SCL_fast_S18	2032988.0	80580988.0	28448.0	3437364.0	9830048.0
145_5_ZIL_fast_S62	2491554.0	85634963.0	39652.0	5552314.0	10318070.0
14_Highfatdiet_Hip_left_S50	907942.0	39798961.0	10077.0	1859103.0	2114865.0
14_Highfatdiet_Hyp_both_S28	905826.0	35521058.0	10103.0	1994922.0	1952151.0
14_Highfatdiet_IC_left_S58	892654.0	34743393.0	9737.0	1746500.0	2444866.0
14_Highfatdiet_PFC_left_S75	829697.0	35684203.0	8949.0	1715550.0	2097689.0
14_Highfatdiet_SC_left_S74	1025946.0	39086761.0	11416.0	2314821.0	2889404.0
15_Highfatdiet_Hip_left_S27	901160.0	39895371.0	9764.0	1903223.0	2240555.0
15_Highfatdiet_Hyp_both_S18	1076785.0	40565795.0	11980.0	2701820.0	3027839.0
15_Highfatdiet_IC_left_S55	668075.0	26380789.0	7501.0	1290353.0	1631069.0
15_Highfatdiet_PFC_left_S72	1011794.0	41261685.0	12382.0	2307852.0	2592750.0
15_Highfatdiet_SC_left_S41	1007207.0	38849253.0	11416.0	2189854.0	2448953.0
