Sample	Perfect Index Reads	Mismatched Index Reads
40-9_Fasting_Hyp_both	40713262.0	306366.0
41-11_Fasting_SC_right	43008690.0	289959.0
41-145_4_HIPL_fast	97841923.0	1215981.0
42-145_5_SCL_fast	94681535.0	1228301.0
42-15_Highfatdiet_SC_left	44201062.0	305621.0
43-142_4_ICL_fast	49965146.0	953850.0
43-7_Fasting_SC_left	41367353.0	339761.0
44-142_4_ZIL_fast	51982691.0	2674375.0
44-2_Chow_SC_left	42351486.0	642060.0
45-144_3_ICL_chow	40195435.0	612301.0
45-2_Chow_Hyp_both	116470546.0	881974.0
46-145_1_HIPL_chow	126808822.0	2569627.0
46-7_Fasting_Hip_left	57123337.0	630392.0
47-143_3_Hyp_fast	95548415.0	1482148.0
47-16_Highfatdiet_IC_right	42598301.0	377459.0
48-145_4_ICL_fast	13596951.0	346922.0
49-143_2_Hyp_chow	41036927.0	708252.0
49-5_Chow_SC_right	45379182.0	382124.0
5-145_4_ZIL_fast	33225520.0	675173.0
5-1_Chow_IC_left	24273428.0	345140.0
50-142_3_SCL_chow	70513554.0	869204.0
50-18_Highfatdiet_PFC_right	45238610.0	318425.0
51-142_2_ICL_chow	35278516.0	717179.0
51-7_Fasting_Hyp_both	39345730.0	433086.0
52-144_1_ICL_chow	61120852.0	943059.0
52-14_Highfatdiet_Hip_left	44351400.0	339548.0
53-145_4_Hyp_fast	86891361.0	1274059.0
53-7_Fasting_PFC_left	44049045.0	389660.0
54-12_Fasting_PFC_right	41707012.0	321466.0
54-145_4_SCL_fast	114962205.0	1454274.0
55-142_5_ICL_fast	69393488.0	3277160.0
55-18_Highfatdiet_Hip_right	36313181.0	701541.0
56-145_5_ICL_fast	53975981.0	967283.0
56-5_Chow_Hip_right	134932331.0	994030.0
57-144_5_ZIL_fast	50562539.0	808547.0
57-15_Highfatdiet_IC_left	29695359.0	282428.0
58-145_2_SCL_chow	61956655.0	1141130.0
58-8_Fasting_PFC_left	149814781.0	1274089.0
59-13_Highfatdiet_Hyp_both	43223016.0	352497.0
59-143_5_HIPL_fast	26242587.0	399184.0
6-142_4_HIPL_fast	28994826.0	354232.0
6-4_Chow_PFC_right	56150548.0	455092.0
60-144_5_ICL_fast	16225107.0	235443.0
61-144_1_ZIL_chow	71949630.0	833810.0
61-14_Highfatdiet_IC_left	39523805.0	313345.0
62-142_3_Hyp_chow	54898722.0	930833.0
62-16_Highfatdiet_SC_right	38368791.0	367400.0
63-144_3_ZIL_chow	30187140.0	450336.0
63-8_Fasting_SC_left	43776607.0	383567.0
64-144_3_Hyp_chow	39266938.0	541327.0
64-6_Chow_PFC_right	28191904.0	223935.0
65-10_Fasting_PFC_right	44749749.0	380899.0
65-145_2_Hyp_chow	98420083.0	1302784.0
66-145_3_ZIL_fast	56216003.0	985692.0
66-2_Chow_PFC_left	44728123.0	354678.0
67-144_4_SCL_fast	103771998.0	1554963.0
67-17_Highfatdiet_SC_right	48248283.0	367780.0
68-143_1_ICL_chow	146284922.0	2212507.0
68-4_Chow_SC_right	80864764.0	679796.0
69-145_3_HIPL_fast	130257522.0	1908947.0
69-6_Chow_Hyp_both	33284291.0	310829.0
7-13_Highfatdiet_PFC_left	44557599.0	344040.0
7-143_2_ZIL_chow	46308751.0	468911.0
70-143_3_HIPL_fast	73795868.0	939546.0
70-3_Chow_IC_left	66912100.0	531254.0
71-144_4_ZIL_fast	51596023.0	641137.0
71-4_Chow_Hip_right	5448679.0	113512.0
72-143_4_HIPL_fast	71524709.0	942832.0
73-145_1_SCL_chow	25814851.0	1359560.0
73-4_Chow_IC_right	39491358.0	772044.0
74-144_2_HIPL_chow	49486159.0	772383.0
74-18_Highfatdiet_IC_right	35244398.0	339322.0
75-143_4_ICL_fast	30720508.0	677816.0
75-2_Chow_Hip_left	53193624.0	757175.0
76-143_5_ZIL_fast	44495805.0	647584.0
76-15_Highfatdiet_PFC_left	46847811.0	338652.0
77-13_Highfatdiet_Hip_left	45937709.0	408441.0
77-142_4_Hyp_fast	110883710.0	1767077.0
78-143_5_ICL_fast	46579011.0	958601.0
78-14_Highfatdiet_SC_left	44704011.0	624337.0
79-143_1_ZIL_chow	60519912.0	882880.0
79-14_Highfatdiet_PFC_left	39968600.0	367488.0
8-145_2_HIPL_chow	23386894.0	1933343.0
8-16_Highfatdiet_Hip_right	17508729.0	7321980.0
80-144_5_HIPL_fast	41368233.0	578206.0
80-16_Highfatdiet_PFC_right	81720501.0	672054.0
81-12_Fasting_Hip_right	87470019.0	769327.0
81-145_3_Hyp_fast	37723642.0	723047.0
82-145_5_HIPL_fast	32153319.0	659412.0
82-3_Chow_Hyp_both	83387906.0	729556.0
83-142_3_HIPL_chow	9999657.0	139027.0
83-9_Fasting_PFC_left	37952001.0	272360.0
84-144_1_SCL_chow	9713448.0	193145.0
