Sample	Overlapping Genes	No Feature	Ambiguous Features	Multimapping	Unmapped
142_2_ICL_chow_S27	14094892.0	15764951.0	630987.0	1431790.0	4073075.0
142_2_SCL_chow_S21	350968.0	29124.0	15845.0	82145.0	395371.0
142_2_ZIL_chow_S6	30585877.0	20662658.0	1402166.0	2799328.0	5568079.0
142_3_HIPL_chow_S59	4850726.0	3968998.0	225113.0	454577.0	639270.0
142_3_Hyp_chow_S38	28202033.0	15199470.0	1302811.0	2947747.0	8177494.0
142_3_ICL_chow_S5	27373872.0	24339465.0	1263239.0	2732843.0	7315035.0
142_3_SCL_chow_S26	31090898.0	28246623.0	1430275.0	3241672.0	7373290.0
142_3_ZIL_chow_S20	11659301.0	2577681.0	403184.0	3459833.0	30367870.0
142_4_HIPL_fast_S6	11067533.0	928552.0	559564.0	2673528.0	14119881.0
142_4_Hyp_fast_S53	63494453.0	29637754.0	3073043.0	7383506.0	9062031.0
142_4_ICL_fast_S19	21941395.0	20361910.0	989990.0	2166781.0	5458920.0
142_4_SCL_fast_S16	6984815.0	1120479.0	261889.0	1958571.0	17794075.0
142_4_ZIL_fast_S20	24831703.0	17720302.0	1074287.0	2647095.0	8383679.0
142_5_HIPL_fast_S9	574309.0	575679.0	26565.0	55626.0	188733.0
142_5_Hyp_fast_S69	31665817.0	20399752.0	1479152.0	3859233.0	5936085.0
142_5_ICL_fast_S31	34758278.0	27275763.0	1643623.0	3261194.0	5731790.0
142_5_SCL_fast_S64	11426383.0	11515280.0	508121.0	1161906.0	3494987.0
142_5_ZIL_fast_S15	25338836.0	12911736.0	1093434.0	2460517.0	5992038.0
143_1_HIPL_chow_S9	1094563.0	103978.0	49291.0	248579.0	2949035.0
143_1_Hyp_chow_S7	16127129.0	10026930.0	786192.0	1771052.0	2668428.0
143_1_ICL_chow_S44	65973281.0	61403249.0	3131527.0	6500405.0	11488967.0
143_1_SCL_chow_S65	30001195.0	31297446.0	1395533.0	2993427.0	6221793.0
143_1_ZIL_chow_S55	35166415.0	16872704.0	1607812.0	3247464.0	4508397.0
143_2_HIPL_chow_S3	11558807.0	10533699.0	539180.0	1201256.0	2150689.0
143_2_Hyp_chow_S25	20669009.0	13625560.0	985380.0	2365813.0	4099417.0
143_2_ICL_chow_S70	24827461.0	12855170.0	1181779.0	2673115.0	4424621.0
143_2_SCL_chow_S4	17845205.0	16884873.0	829879.0	1672713.0	3375197.0
143_2_ZIL_chow_S7	18549446.0	1904540.0	832194.0	4442996.0	21048486.0
143_3_HIPL_fast_S46	30339301.0	35980161.0	1380190.0	2490687.0	4545075.0
143_3_Hyp_fast_S23	40910259.0	42113699.0	1938299.0	4149588.0	7918718.0
143_3_ICL_fast_S61	28381336.0	20478995.0	1275028.0	3405634.0	7569331.0
143_3_SCL_fast_S13	20069294.0	5898553.0	448322.0	5068957.0	34683837.0
143_3_ZIL_fast_S10	41877174.0	33558168.0	1883285.0	3830874.0	6983710.0
143_4_HIPL_fast_S48	29252898.0	31540039.0	1272553.0	2879944.0	7522107.0
143_4_Hyp_fast_S16	22860064.0	13486465.0	1070774.0	2598883.0	5796712.0
143_4_ICL_fast_S51	17626610.0	7790461.0	811273.0	1992070.0	3177910.0
143_4_SCL_fast_S3	10105533.0	3161786.0	910270.0	6662149.0	43418631.0
143_4_ZIL_fast_S18	13108439.0	3080532.0	433882.0	3975289.0	23093544.0
143_5_HIPL_fast_S35	11664499.0	11789414.0	535362.0	991186.0	1661310.0
143_5_Hyp_fast_S12	6846623.0	880262.0	433854.0	3137355.0	5877376.0
143_5_ICL_fast_S54	23810560.0	14580570.0	1102710.0	2420887.0	5622885.0
143_5_SCL_fast_S14	21038349.0	1988578.0	1154863.0	6188642.0	62779091.0
143_5_ZIL_fast_S52	23262594.0	11268687.0	1019906.0	2371288.0	7220914.0
144_1_HIPL_chow_S1	6505833.0	1303261.0	315664.0	2141200.0	16325875.0
144_1_Hyp_chow_S68	49386.0	28160.0	2177.0	5157.0	52957.0
144_1_ICL_chow_S28	25042222.0	25492652.0	1103253.0	2731219.0	7694565.0
144_1_SCL_chow_S60	3990786.0	3952949.0	173674.0	425976.0	1363208.0
144_1_ZIL_chow_S37	39223411.0	20695599.0	1739103.0	3581306.0	7544021.0
144_2_HIPL_chow_S50	21939541.0	20117707.0	982028.0	2048028.0	5171238.0
144_2_Hyp_chow_S2	20872762.0	11008060.0	972671.0	2536627.0	4155371.0
144_2_ICL_chow_S24	21281992.0	2738455.0	1154374.0	12370617.0	39478029.0
144_2_SCL_chow_S14	25763299.0	23092686.0	1136962.0	2658961.0	7340607.0
144_2_ZIL_chow_S11	2515640.0	314457.0	246576.0	1523810.0	7755234.0
144_3_HIPL_chow_S8	10987096.0	11161840.0	511140.0	1069988.0	1760255.0
144_3_Hyp_chow_S40	19788499.0	12875420.0	935515.0	2156932.0	4051899.0
144_3_ICL_chow_S21	16560109.0	18514136.0	770234.0	1555289.0	3407968.0
144_3_SCL_chow_S71	10940170.0	6746066.0	526634.0	1062592.0	1695311.0
144_3_ZIL_chow_S39	14249161.0	11407554.0	651457.0	1306414.0	3022890.0
144_4_HIPL_fast_S15	14793675.0	1685724.0	794385.0	4029170.0	23320268.0
144_4_Hyp_fast_S13	19770903.0	9656468.0	831938.0	2674397.0	7733193.0
144_4_ICL_fast_S4	5949850.0	371209.0	305494.0	1506951.0	12022335.0
144_4_SCL_fast_S43	46215160.0	45241672.0	2202212.0	4256982.0	7410935.0
144_4_ZIL_fast_S47	24432027.0	21453523.0	1139825.0	1967309.0	3244476.0
144_5_HIPL_fast_S56	19996728.0	15682711.0	890671.0	1958140.0	3418189.0
144_5_Hyp_fast_S10	4200885.0	1591193.0	885265.0	8828714.0	33371241.0
144_5_ICL_fast_S36	7514714.0	6601768.0	356154.0	714542.0	1273372.0
144_5_SCL_fast_S12	4709895.0	4866176.0	215896.0	422630.0	868471.0
144_5_ZIL_fast_S33	21540015.0	22179357.0	955149.0	2003611.0	4692954.0
145_1_HIPL_chow_S22	53948532.0	57755690.0	2506255.0	5059990.0	10107982.0
145_1_Hyp_chow_S2	964813.0	245355.0	140418.0	1426976.0	21461699.0
145_1_ICL_chow_S1	28968978.0	20784137.0	1306287.0	3213815.0	6596691.0
145_1_SCL_chow_S49	11390559.0	11498709.0	531009.0	1126061.0	2628073.0
145_1_ZIL_chow_S66	16910458.0	11011804.0	735849.0	1773368.0	5238532.0
145_2_HIPL_chow_S8	8084310.0	1817471.0	511236.0	4115986.0	10791234.0
145_2_Hyp_chow_S41	43014587.0	42856382.0	2039771.0	4273367.0	7538760.0
145_2_ICL_chow_S23	15722213.0	2318946.0	1354574.0	11022241.0	19363559.0
