Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
13_Highfatdiet_SC_left_S10_R1_001										3.3752411095728694	0.945610220030214	2.4813874487083485	0.9519434357091368	1.5391021723471905	0.6211162143047296	0.9873129461688789
13_Highfatdiet_SC_left_S10_R2_001										3.3683248379244484	1.0178720349536465	2.6077130074869266	0.956628996040982	1.964698111267709	0.3216077481490713	0.5546123711282106
142_2_HIPL_chow_S67_R1_001										8.722325485924252	1.8299550198313375	2.937501304223953	1.2121816433022947	2.979114598273625	0.9645632232421988	5.481231825639897
142_2_HIPL_chow_S67_R2_001										5.44544079227689	1.1431611499453707	2.480553345435585	1.1801700229578727	2.827388792983923	0.8342741409994796	1.6804019561655708
142_2_Hyp_chow_S19_R1_001										2.5278659002508084	1.0653915262644662	2.892051063496153	1.6057870696001106	5.791908458564914	3.615245708217173	67.49314259431075
142_2_Hyp_chow_S19_R2_001										2.815623605568202	1.1718931509389594	3.4434150959978074	1.9166928949451267	6.9490535354852545	4.0212561830056	61.21827116995936
142_2_ICL_chow_S27_R1_001										5.119817668349138	1.2049470851246715	2.8119352477810873	1.3192677082783983	3.0275767501956405	0.8410845280266035	6.894435165385667
142_2_ICL_chow_S27_R2_001										3.616714446878079	1.0263641971886208	2.8304689327781754	1.486075515860025	2.809205338863219	0.9724310733251272	0.8798694027980404
142_2_SCL_chow_S21_R1_001										6.132004142570715	3.5665611331206355	10.556347818138397	4.18779966619035	4.090712757726149	0.0	36.57964044398387
142_2_SCL_chow_S21_R2_001										7.809239745758472	3.5906036014455895	8.19304184754103	2.291277388589827	1.3247068761188556	0.0	35.462868580797554
142_2_ZIL_chow_S6_R1_001										9.260245820305476	1.9611119802124135	3.2631104338864017	1.3196802577730393	3.424817309039073	1.1894685799656368	6.368685196043941
142_2_ZIL_chow_S6_R2_001										6.815578515343034	1.3963672626014585	2.721521311634728	1.313658748090332	3.369366372612318	1.2632230527955841	2.362988403338361
142_3_HIPL_chow_S59_R1_001										3.7025523576556587	1.3132298380395246	3.054525280302198	0.9355419231762813	1.9794023439420205	0.31575672046632003	1.6153524670873425
142_3_HIPL_chow_S59_R2_001										3.2122050020982638	1.2622588196246896	2.8333732931117144	1.1777701048640812	1.9020301058203997	0.3266660532556915	0.206503389233593
142_3_Hyp_chow_S38_R1_001										8.723252502474251	1.7394211026385755	3.0734337059758357	1.534990376480037	4.223643380606122	1.3648359763642215	11.004001175901301
142_3_Hyp_chow_S38_R2_001										6.943927464910361	1.3009720918343854	2.9082378849171886	1.5130722281342661	4.2507744579503	1.6487289254113056	3.193132190202874
142_3_ICL_chow_S5_R1_001										7.908975689626789	1.647566552369028	2.7369611204484423	1.2935819284950822	3.5223171183486737	1.4594437606520678	7.970591395049914
142_3_ICL_chow_S5_R2_001										5.248568786657773	1.102425095169507	2.482464658271267	1.2970606841606303	3.5704502963921136	1.26018145937828	2.7908687427685046
142_3_SCL_chow_S26_R1_001										7.2402472258389	1.5541338671036802	2.75272794143992	1.316232286434335	3.4958096833748398	1.160868736778586	7.107974078904272
142_3_SCL_chow_S26_R2_001										5.092852216533558	1.1021584010281422	2.318182921582032	1.1890187386410564	3.3804743126146968	1.2112889938956268	2.363593698510344
142_3_ZIL_chow_S20_R1_001										3.511721558759738	1.3752595760092494	3.8985777756534166	2.0500918557589234	6.763205728179905	3.5646295424151773	63.64352886770376
142_3_ZIL_chow_S20_R2_001										4.409553444217694	1.9879407728519398	5.870209941166846	3.0422830052939336	8.258193968055453	4.003956467739749	50.99315921317943
142_4_HIPL_fast_S6_R1_001										5.348739811717829	1.7414243168686623	3.947458369908889	2.2747354592794613	7.1463144136503125	3.2651997508130277	48.424100683243424
142_4_HIPL_fast_S6_R2_001										5.219598171931882	1.850516351602168	4.858412290138866	2.514853454779729	6.528002636963172	2.6969305282391325	43.23360362861082
142_4_Hyp_fast_S53_R1_001										12.84067385935729	2.890007161900534	3.9465797668946574	1.4238312957019097	4.125214793758528	2.1686349542005905	7.5384770599340305
142_4_Hyp_fast_S53_R2_001										9.948684546248822	2.0141165111194654	2.698164661522558	1.2605228030210647	4.117612800309062	1.8316236763418334	4.94847851602154
142_4_ICL_fast_S19_R1_001										7.278855002517324	1.6581775928064635	3.0398601712018505	1.4972706612484667	3.778998756877763	1.138275069610949	7.028817887436054
