comparison,module,coef,pvalue,pvalue_bh
chow.vs.fast,ZI__17,-0.08131720180113493,0.08087864440854944,0.6978202056529692
chow.vs.fast,HPF__24,-0.047879386784151524,0.08404223201314161,0.6978202056529692
chow.vs.fast,SC__46,-0.023313259300036835,0.08707369347368203,0.6978202056529692
chow.vs.fast,HPF__05,0.13018466146273094,0.08960887635654573,0.6978202056529692
chow.vs.fast,HY__67,0.05135705398766829,0.09137974932609695,0.6978202056529692
chow.vs.fast,SC__57,-0.041613257745675536,0.09150356467423292,0.6978202056529692
chow.vs.fast,SC__77,-0.0224689883401116,0.09565047775384372,0.6978202056529692
chow.vs.fast,HPF__36,0.06846284422279561,0.09612291598833693,0.6978202056529692
chow.vs.fast,ZI__06,0.04641541848257534,0.09832477267514068,0.6978202056529692
chow.vs.fast,HY__35,0.12679400289136147,0.09889133611384061,0.6978202056529692
chow.vs.fast,SC__11,0.1621281964934515,0.10138504611580652,0.6978202056529692
chow.vs.fast,HY__16,0.059001096838712845,0.10493823954733478,0.6978202056529692
chow.vs.fast,HY__12,0.02383382792172766,0.10573043334519398,0.6978202056529692
chow.vs.fast,SC__60,0.04748027730057625,0.10781461963019813,0.6978202056529692
chow.vs.fast,SC__66,0.06754245042516341,0.10814867039612619,0.6978202056529692
chow.vs.fast,ZI__47,-0.08158316639930954,0.11018213773467936,0.6978202056529692
chow.vs.fast,SC__50,0.042236485629952004,0.11249653056666127,0.6979376590258168
chow.vs.fast,ZI__13,-0.10590013858019558,0.1174199231162495,0.713913132546797
chow.vs.fast,HY__68,0.09670236366976795,0.12771967637213752,0.7613094434731335
chow.vs.fast,SC__82,0.04124306761268369,0.13452718011120568,0.7836958893371939
chow.vs.fast,HY__20,0.014930176604723696,0.14023372835127992,0.7836958893371939
chow.vs.fast,IC__21,-0.026604103405140307,0.14137245417868305,0.7836958893371939
chow.vs.fast,IC__04,-0.09367582040589151,0.15013541996845878,0.7836958893371939
chow.vs.fast,SC__26,0.12045369115894315,0.15401819299007632,0.7836958893371939
chow.vs.fast,IC__17,-0.038399415931533835,0.15414315332692452,0.7836958893371939
chow.vs.fast,ZI__27,-0.11458264954291913,0.15522675620783102,0.7836958893371939
chow.vs.fast,SC__58,-0.007188392393466039,0.15597978932586615,0.7836958893371939
chow.vs.fast,SC__83,0.1639588388894807,0.15666498540101392,0.7836958893371939
chow.vs.fast,HY__47,-0.06260838068123706,0.15928214056625073,0.7836958893371939
chow.vs.fast,HY__06,0.07691520469161213,0.16258340154233986,0.7836958893371939
chow.vs.fast,SC__40,0.031686932266349346,0.16547364722480476,0.7836958893371939
chow.vs.fast,HPF__38,-0.07788578272948633,0.16552150556021406,0.7836958893371939
chow.vs.fast,IC__05,-0.10638831724936075,0.16756655528591316,0.7836958893371939
chow.vs.fast,IC__25,-0.0808322188798895,0.17047925571181893,0.7852377838847419
chow.vs.fast,SC__34,0.08427886977135644,0.18004180894643906,0.8160697680971245
chow.vs.fast,HY__02,-0.007902662609862197,0.18338711316518228,0.8160697680971245
chow.vs.fast,HY__46,-0.035653551716323444,0.18522636183783417,0.8160697680971245
chow.vs.fast,HPF__03,0.03185054175102095,0.1907901505227009,0.8268883218416688
chow.vs.fast,IC__20,-0.05921714008026273,0.19312194358802134,0.8268883218416688
chow.vs.fast,SC__76,-0.15124213138807643,0.20149548628958716,0.850758719889368
chow.vs.fast,SC__75,0.041248919534731934,0.20571388608417007,0.8563223815894399
chow.vs.fast,SC__71,-0.10466429831263843,0.20844689551848208,0.8563223815894399
chow.vs.fast,SC__81,-0.06941423029762131,0.21180668584893103,0.8585230999743338
chow.vs.fast,SC__55,-0.03095500445023349,0.22535860905906752,0.8608089546538791
chow.vs.fast,HPF__14,0.11232987705158713,0.22932151597996286,0.8608089546538791
