comparison,module,coef,pvalue,pvalue_bh
chow.vs.fast,HY__75,0.09039591436765794,0.11110868680392152,0.6749641150421742
chow.vs.HFD,SC__51,-0.1593641543737095,0.11193715466162127,0.6749641150421742
chow.vs.HFD,SC__11,0.13337833181758402,0.1123523234177637,0.6749641150421742
chow.vs.HFD,IC__01,-0.047705484456602665,0.11251491321921445,0.6749641150421742
chow.vs.HFD,IC__46,-0.07992410528080537,0.1133728786984902,0.6749641150421742
chow.vs.HFD,IC__37,-0.08944249140540739,0.1195846300490866,0.6880017942369364
chow.vs.fast,HPF__36,0.034686316168951514,0.11999215423158982,0.6880017942369364
chow.vs.HFD,IC__11,-0.009333800927305125,0.12063991853015717,0.6880017942369364
chow.vs.fast,SC__80,-0.09387516229478234,0.12093781539321148,0.6880017942369364
chow.vs.HFD,HY__50,-0.0199889824311559,0.12437398181018877,0.6997744910639193
chow.vs.HFD,SC__05,0.07915867358029936,0.1346038125812665,0.7230477691605627
chow.vs.HFD,HY__33,0.013002674036765381,0.1346830356612326,0.7230477691605627
chow.vs.HFD,SC__53,-0.0711872561641001,0.13642035797884086,0.7230477691605627
chow.vs.fast,SC__30,-0.03302210696259155,0.13660614139649466,0.7230477691605627
chow.vs.HFD,HY__30,-0.11131506118063123,0.1380650828365555,0.7230477691605627
chow.vs.fast,HY__68,0.06832301059845673,0.13891350389497445,0.7230477691605627
chow.vs.HFD,SC__79,0.043898138440201316,0.1406261392921447,0.7230477691605627
chow.vs.fast,SC__10,0.07442537865045491,0.14129380670282846,0.7230477691605627
chow.vs.HFD,HY__48,0.027849288602942987,0.1450192021128569,0.7230477691605627
chow.vs.fast,HPF__19,0.026587147412596816,0.14517034665735343,0.7230477691605627
chow.vs.HFD,HY__51,0.1293064674932657,0.14559628718788353,0.7230477691605627
chow.vs.HFD,SC__37,-0.03347349695355308,0.1477771796902593,0.7230477691605627
chow.vs.fast,HY__58,0.05340464084663996,0.1493158865996087,0.7230477691605627
chow.vs.HFD,SC__61,0.11499102970575771,0.1495416732773581,0.7230477691605627
chow.vs.HFD,SC__21,-0.02247776622685123,0.14969348345902275,0.7230477691605627
chow.vs.HFD,SC__08,0.04549362176317249,0.15125313070679539,0.7237532983353199
chow.vs.fast,SC__86,0.0953779324038856,0.15618274155516537,0.7247739709222212
chow.vs.HFD,HY__56,0.0803023789612358,0.1568556518122745,0.7247739709222212
chow.vs.fast,SC__68,-0.03689241352985954,0.15723784500218388,0.7247739709222212
chow.vs.HFD,SC__28,-0.14336955453134806,0.15838947779691315,0.7247739709222212
chow.vs.fast,HPF__38,-0.05019855668526651,0.16270178304685834,0.7247739709222212
chow.vs.fast,HY__79,-0.018489642156358625,0.1630162826714715,0.7247739709222212
chow.vs.fast,HY__69,0.03348610122902834,0.16574360116861353,0.7247739709222212
chow.vs.HFD,IC__26,0.011204266946634192,0.1660800138295956,0.7247739709222212
chow.vs.fast,HPF__28,0.06353888405404348,0.16694462753660083,0.7247739709222212
chow.vs.HFD,SC__92,0.06284362133133038,0.1669635695341996,0.7247739709222212
chow.vs.fast,HPF__17,-0.016315438038584675,0.16782024574982513,0.7247739709222212
chow.vs.fast,HPF__32,0.03821272300261427,0.16905848436091941,0.7247739709222212
chow.vs.fast,HPF__34,0.05319161889945149,0.16986889943489558,0.7247739709222212
