GSM,filename,name,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes
GSM7517824,2_Chow_Hip_left_S71,S0010_02_chow_HPF,10.0,S71,38.8,34,2,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,,25.9,26.0,0.1000000000000014,0.0038610038610039,0.00023882498109302567,741.7,734.4,11778.55000000011,728.5701030927903,
GSM7517801,3_Chow_Hip_left_S4,S0010_03_chow_HPF,10.0,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517807,3_Chow_Hip_left_S4,S0010_03_chow_HPF,10.0,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517813,3_Chow_Hip_left_S4,S0010_03_chow_HPF,10.0,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517819,3_Chow_Hip_left_S4,S0010_03_chow_HPF,10.0,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517825,3_Chow_Hip_left_S4,S0010_03_chow_HPF,10.0,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16.0,,26.2,26.4,0.1999999999999993,0.0076335877862595,0.0004770992366412197,743.5,735.3,13230.700000000072,826.9187500000046,
GSM7517802,4_Chow_Hip_right_S68,S0010_04_chow_HPF,10.0,S68,25.6,35,4,chow,3227,HPF,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517808,4_Chow_Hip_right_S68,S0010_04_chow_HPF,10.0,S68,25.6,35,4,chow,3227,HPF,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517814,4_Chow_Hip_right_S68,S0010_04_chow_HPF,10.0,S68,25.6,35,4,chow,3227,HPF,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
GSM7517820,4_Chow_Hip_right_S68,S0010_04_chow_HPF,10.0,S68,25.6,35,4,chow,3227,HPF,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,,23.5,24.0,0.5,0.0212765957446808,0.0013160780872998,743.5,735.3,13230.700000000072,818.3938144329942,
